"day;avg_size;avg_speed;avg_senserange;dominant_size;dominant_speed;dominant_sense;n_creatures"
"599;1551;1235;591;999;0;999;19"
"600;1557;1236;586;999;0;999;19"
"601;1557;1235;589;1000;0;1000;16"
"602;1556;1227;591;999;0;999;15"
"603;1555;1223;591;1000;0;1000;16"
"604;1555;1224;592;1000;0;1000;18"
"605;1548;1225;593;999;0;999;23"
"606;1544;1224;596;1000;0;1000;21"
"607;1545;1227;592;999;0;999;19"
"608;1551;1226;589;999;0;999;19"
"609;1548;1226;584;999;0;999;19"
"610;1546;1225;588;1000;0;1000;18"
"611;1543;1221;590;1000;0;1000;17"
"612;1542;1222;592;1000;0;1000;20"
"613;1545;1222;590;1000;0;1000;20"
"614;1550;1222;588;1000;0;1000;21"
"615;1546;1220;582;999;0;999;22"
"616;1548;1224;584;999;0;999;19"
"617;1543;1227;589;999;0;999;19"
"618;1542;1230;590;1000;0;1000;20"
"619;1539;1229;584;1000;0;1000;21"
"620;1537;1222;583;999;0;999;22"
"621;1542;1224;581;999;0;999;19"
"622;1542;1225;582;999;0;999;19"
"623;1543;1222;585;1000;0;1000;20"
"624;1547;1211;583;999;0;999;24"
"625;1546;1207;584;1000;0;1000;20"
"626;1551;1200;581;999;0;999;22"
"627;1548;1197;579;1000;0;1000;18"
"628;1548;1198;574;1000;0;1000;18"
"629;1550;1197;573;1000;0;1000;21"
"630;1555;1198;572;999;0;999;24"
"631;1554;1198;574;1000;0;1000;21"
"632;1555;1201;566;999;0;999;19"
"633;1555;1201;563;1000;0;1000;21"
"634;1553;1201;555;999;0;999;19"
"635;1556;1202;551;999;0;999;19"
"636;1557;1202;558;1000;0;1000;17"
"637;1556;1200;563;1000;0;1000;20"
"638;1556;1201;561;1000;0;1000;21"
"639;1555;1199;563;999;0;999;23"
"640;1553;1192;574;1000;0;1000;20"
"641;1555;1194;572;1000;0;1000;21"
"642;1556;1195;579;999;0;999;22"
"643;1560;1194;584;999;0;999;22"
"644;1558;1195;588;1000;0;1000;21"
"645;1561;1193;586;999;0;999;23"
"646;1560;1192;584;999;0;999;24"
"647;1557;1190;589;1000;0;1000;25"
"648;1558;1186;583;1000;0;1000;21"
"649;1556;1188;581;1000;0;1000;25"
"650;1558;1185;582;999;0;999;23"
"651;1560;1185;580;999;0;999;24"
"652;1563;1187;578;1000;0;1000;17"
"653;1563;1192;584;1000;0;1000;18"
"654;1567;1193;581;999;0;999;19"
"655;1569;1194;578;1000;0;1000;20"
"656;1571;1193;587;1000;0;1000;20"
"657;1566;1193;590;999;0;999;19"
"658;1561;1191;595;999;0;999;19"
"659;1561;1192;594;1000;0;1000;20"
"660;1554;1189;601;999;0;999;23"
"661;1554;1191;607;999;0;999;24"
"662;1555;1192;606;999;0;999;23"
"663;1560;1193;611;1000;0;1000;25"
"664;1559;1193;614;1000;0;1000;21"
